"endingID"	"Freq"
"1"	"3000"	955
"2"	"3005"	6262
"3"	"3006"	2826
"4"	"3007"	1993
"5"	"3008"	2242
"6"	"3009"	68
"7"	"3010"	412
"8"	"3011"	1491
"9"	"3014"	5385
"10"	"3016"	1906
"11"	"3018"	1402
"12"	"3019"	2175
"13"	"3020"	604
"14"	"3021"	1490
"15"	"3022"	4337
"16"	"3023"	2495
"17"	"3024"	760
"18"	"3025"	713
"19"	"3026"	1212
"20"	"3027"	1861
"21"	"3028"	521
"22"	"3029"	1399
"23"	"3030"	4224
"24"	"3031"	5517
"25"	"3032"	2778
"26"	"3033"	778
"27"	"3034"	3032
"28"	"3035"	3513
"29"	"3036"	1424
"30"	"3037"	1427
"31"	"3038"	3194
"32"	"3039"	115
"33"	"3040"	737
"34"	"3042"	5293
"35"	"3045"	319
"36"	"3046"	1134
"37"	"3047"	1994
"38"	"3048"	3156
"39"	"3049"	2489
"40"	"3051"	1939
"41"	"3052"	1497
"42"	"3053"	12
"43"	"3054"	840
"44"	"3055"	2460
"45"	"3056"	1481
"46"	"3057"	399
"47"	"3058"	1944
"48"	"3059"	722
"49"	"3060"	389
"50"	"3062"	2204
"51"	"3063"	3763
"52"	"3064"	4605
"53"	"3065"	1016
"54"	"3066"	1203
"55"	"3067"	3481
"56"	"3068"	983
"57"	"3069"	5072
"58"	"3074"	2361
"59"	"3075"	2276
"60"	"3076"	1960
"61"	"3077"	811
"62"	"3078"	883
"63"	"3079"	717
"64"	"3080"	178
"65"	"3081"	644
"66"	"3082"	4703
"67"	"4108"	155
