"dats"	"numberOfTrips"	"dayFlexV"	"dayMonthV"	"dayWalkV"	"dayStaffV"
"1"	"2016-07-07"	190	61	128	1	0
"2"	"2016-07-08"	345	93	251	1	0
"3"	"2016-07-09"	421	113	308	0	0
"4"	"2016-07-10"	334	75	259	0	0
"5"	"2016-07-11"	350	55	295	0	0
"6"	"2016-07-12"	533	79	453	1	0
"7"	"2016-07-13"	535	62	472	1	0
"8"	"2016-07-14"	570	66	504	0	0
"9"	"2016-07-15"	484	73	411	0	0
"10"	"2016-07-16"	412	88	324	0	0
"11"	"2016-07-17"	354	56	298	0	0
"12"	"2016-07-18"	433	47	386	0	0
"13"	"2016-07-19"	496	44	452	0	0
"14"	"2016-07-20"	488	72	414	2	0
"15"	"2016-07-21"	540	67	473	0	0
"16"	"2016-07-22"	471	57	414	0	0
"17"	"2016-07-23"	338	56	282	0	0
"18"	"2016-07-24"	350	59	291	0	0
"19"	"2016-07-25"	535	57	478	0	0
"20"	"2016-07-26"	480	50	430	0	0
"21"	"2016-07-27"	534	78	456	0	0
"22"	"2016-07-28"	547	56	491	0	0
"23"	"2016-07-29"	614	77	503	34	0
"24"	"2016-07-30"	511	62	271	178	0
"25"	"2016-07-31"	555	64	311	180	0
"26"	"2016-08-01"	633	40	435	158	0
"27"	"2016-08-02"	765	32	538	195	0
"28"	"2016-08-03"	763	49	533	181	0
"29"	"2016-08-04"	862	62	586	214	0
"30"	"2016-08-05"	862	61	499	302	0
"31"	"2016-08-06"	778	59	289	430	0
"32"	"2016-08-07"	867	62	297	508	0
"33"	"2016-08-08"	715	43	418	254	0
"34"	"2016-08-09"	754	74	459	221	0
"35"	"2016-08-10"	821	58	541	222	0
"36"	"2016-08-11"	942	70	515	357	0
"37"	"2016-08-12"	832	52	459	321	0
"38"	"2016-08-13"	839	44	303	492	0
"39"	"2016-08-14"	1022	58	273	691	0
"40"	"2016-08-15"	646	39	404	203	0
"41"	"2016-08-16"	747	51	426	270	0
"42"	"2016-08-17"	727	46	443	238	0
"43"	"2016-08-18"	735	58	452	225	0
"44"	"2016-08-19"	785	57	440	288	0
"45"	"2016-08-20"	796	37	242	517	0
"46"	"2016-08-21"	783	43	281	459	0
"47"	"2016-08-22"	731	36	464	231	0
"48"	"2016-08-23"	877	66	555	256	0
"49"	"2016-08-24"	763	46	507	210	0
"50"	"2016-08-25"	838	56	498	284	0
"51"	"2016-08-26"	861	64	463	334	0
"52"	"2016-08-27"	730	47	266	417	0
